Date,Category,Title,Link
2026-04-27 19:07:00,Anasayfa,Fenerbahçe'de olağanüstü toplantı sona erdi: Tedesco ile yollar resmen ayrıldı!,https://www.hurriyet.com.tr/sporarena/fenerbahcede-olaganustu-toplanti-sona-erdi-tedesco-ile-yollar-resmen-ayrildi-43160689
2026-04-27 18:56:07,Anasayfa,"Galatasaray, Samsun'a 26. zafer için gidecek! Şampiyonluk sadece 3 puan uzaklıkta",https://www.hurriyet.com.tr/sporarena/galatasaray-samsuna-26-zafer-icin-gidecek-sampiyonluk-sadece-3-puan-uzaklikta-43160709
2026-04-27 21:00:00,Anasayfa,GÖRELE 1. ASLİYE HUKUK MAHKEMESİ HAKİMLİĞİ,https://www.hurriyet.com.tr/resmi-ilanlar/gorele-1-asliye-hukuk-mahkemesi-hakimligi-43160503
2026-04-27 17:12:35,Anasayfa,"Bakan Tekin'den 27 Nisan ""e-muhtıra""sına ilişkin paylaşım",https://www.hurriyet.com.tr/gundem/bakan-tekinden-27-nisan-e-muhtirasina-iliskin-paylasim-43160682
2026-04-27 19:24:26,Anasayfa,Denizde 2 erkek cesedi bulundu,https://www.hurriyet.com.tr/gundem/denizde-2-erkek-cesedi-bulundu-43160729
2026-04-27 12:50:00,Anasayfa,Taksim'de izinsiz gösteriye polis müdahalesi,https://www.hurriyet.com.tr/gundem/taksimde-izinsiz-gosteriye-polis-mudahalesi-43160526
2026-04-27 04:00:00,Anasayfa,Komilikten suç imparatorluğuna! Bir suç baronunun portresi,https://www.hurriyet.com.tr/gundem/komilikten-suc-imparatorluguna-bir-suc-baronunun-portresi-43160060
2026-04-26 06:11:00,Anasayfa,Milyon dolarlık krizin perde arkası: ‘Bizi ATM gibi kullandılar!’ Trump bağlantılı projede ‘arka kapı’ iddiası,https://www.hurriyet.com.tr/dunya/milyon-dolarlik-krizin-perde-arkasi-bizi-atm-gibi-kullandilar-trump-baglantili-projede-arka-kapi-iddiasi-43151761
2026-04-26 08:03:00,Anasayfa,Spor salonunu bıraktıran keşif! 100 yaşındakilerin uzun ömür sırrı ünlü uzmanı şaşırttı: ‘4 temel alışkanlıkları var’,https://www.hurriyet.com.tr/aile/spor-salonunu-biraktiran-kesif-100-yasindakilerin-uzun-omur-sirri-unlu-uzmani-sasirtti-4-temel-aliskanliklari-var-43107187
2026-04-26 10:11:00,Anasayfa,Bağırsak kanseri neden gençlerde artıyor? Uzman isim 4 büyük riski tek tek sıraladı,https://www.hurriyet.com.tr/aile/galeri-bagirsak-kanseri-neden-genclerde-artiyor-uzman-isim-4-buyuk-riski-tek-tek-siraladi-43147841
2026-04-27 04:00:00,Anasayfa,Gülistan Doku cinayeti tutuklusu eski vali kadına şiddette döktürmüş,https://www.hurriyet.com.tr/gundem/gulistan-doku-cinayeti-tutuklusu-eski-vali-kadina-siddette-dokturmus-43160061
